City,RegionName,avg,zip,count,population,poverty_count,median_household_income,zipcode,poverty_rate
0,28315,216032.02551020408,28315,4,13700.0,2826.0,51725.0,28315,20.62773722627737
1,27006,322164.6195652174,27006,2,14555.0,932.0,78095.0,27006,6.403297835795258
2,28001,161291.03741496598,28001,8,26601.0,5208.0,45121.0,28001,19.578211345438138
3,27501,209262.44852941178,27501,5,21299.0,2601.0,56338.0,27501,12.21184093149913
4,27502,282296.24149659864,27502,7,40280.0,2248.0,110513.0,27502,5.580933465739823
4,27523,310453.2244897959,27523,3,11629.0,685.0,102368.0,27523,5.890446298047984
4,27539,338619.1700680272,27539,5,23436.0,1111.0,105526.0,27539,4.7405700631507095
5,27263,175611.0068027211,27263,5,22028.0,3042.0,44454.0,27263,13.80969674959143
6,28704,330783.92910447763,28704,3,19060.0,1563.0,63223.0,28704,8.200419727177334
7,28420,192996.2122905028,28420,2,3845.0,639.0,53519.0,28420,16.618985695708712
8,27203,138211.53684210527,27203,8,21684.0,5360.0,34131.0,27203,24.71868658919018
8,27205,235137.42456140352,27205,7,34517.0,5316.0,47008.0,27205,15.401106701045858
9,28801,316680.33208955225,28801,5,13683.0,3113.0,33504.0,28801,22.75085872981071
9,28803,389884.9222222222,28803,9,33756.0,3072.0,50475.0,28803,9.100604337006754
9,28804,391651.3222222222,28804,2,22189.0,2553.0,59855.0,28804,11.50570102302943
9,28805,297884.8185185185,28805,3,19818.0,2187.0,49893.0,28805,11.035422343324251
9,28806,227124.53159851301,28806,12,42650.0,6165.0,46726.0,28806,14.454865181711607
10,28511,128143.22047244094,28511,1,566.0,107.0,38125.0,28511,18.904593639575968
11,27806,85419.84351145038,27806,1,2664.0,490.0,37582.0,27806,18.39339339339339
12,28513,135224.90862944163,28513,3,10321.0,2091.0,48269.0,28513,20.259664761166555
13,28009,102933.86394557822,28009,1,1221.0,167.0,33261.0,28009,13.677313677313675
14,27503,304297.59057971014,27503,1,6328.0,170.0,81016.0,27503,2.6864728192161818
15,27807,169196.53846153847,27807,2,6415.0,866.0,45422.0,27807,13.499610288386593
16,28604,279267.1258503401,28604,2,7635.0,918.0,51280.0,28604,12.023575638506875
17,27917,174539.56666666668,27917,3,734.0,391.0,29684.0,27917,53.26975476839236
18,28709,268359.531598513,28709,1,2302.0,175.0,47250.0,28709,7.602085143353605
19,27808,279985.8185328185,27808,1,1939.0,169.0,48079.0,27808,8.715832903558535
20,28515,130243.23008849558,28515,4,2584.0,507.0,29292.0,28515,19.620743034055728
21,27207,217760.20588235295,27207,1,3149.0,502.0,55625.0,27207,15.941568751984756
22,28516,286879.9557823129,28516,4,11268.0,1665.0,48668.0,28516,14.776357827476039
23,28012,275177.65201465203,28012,7,22968.0,2135.0,66910.0,28012,9.29554162312783
24,28090,111784.94897959183,28090,2,8473.0,2121.0,33151.0,28090,25.032456036822854
25,27208,214590.25683060108,27208,2,1847.0,331.0,42128.0,27208,17.920952896589068
26,27504,198555.45955882352,27504,5,15182.0,3153.0,46944.0,27504,20.76801475431432
27,28016,141872.9706959707,28016,5,13046.0,2484.0,44313.0,28016,19.040318871684807
28,27812,109370.89304812835,27812,2,2762.0,694.0,38944.0,27812,25.126719768283852
29,28711,299645.72222222225,28711,3,13398.0,880.0,45329.0,28711,6.568144499178983
30,28605,462486.2925170068,28605,1,3428.0,375.0,60172.0,28605,10.939323220536757
31,28461,473087.875,28461,4,19897.0,1471.0,64418.0,28461,7.393074332813993
32,28422,320426.21256038646,28422,4,8404.0,1810.0,45183.0,28422,21.53736316039981
33,28606,76607.11764705883,28606,1,1689.0,265.0,31308.0,28606,15.689757252812312
34,28607,296618.8537414966,28607,5,35523.0,10533.0,41143.0,28607,29.651211890887595
35,27011,133465.80666666667,27011,3,5380.0,906.0,37167.0,27011,16.840148698884757
36,28018,144685.88095238095,28018,3,4699.0,757.0,36108.0,28018,16.109810597999573
37,28712,290295.87978142075,28712,6,20017.0,2894.0,46490.0,28712,14.457710945696158
37,28772,337195.17391304346,28772,3,1061.0,51.0,45670.0,28772,4.806786050895382
38,27505,171945.16666666666,27505,1,5862.0,898.0,47696.0,27505,15.31900375298533
39,27214,213274.69047619047,27214,3,10773.0,781.0,67895.0,27214,7.24960549521953
40,27508,157409.35483870967,27508,3,1326.0,163.0,42981.0,27508,12.292609351432882
41,28323,176525.79032258064,28323,2,3899.0,704.0,52351.0,28323,18.055911772249296
42,28425,183986.35135135136,28425,6,11634.0,2161.0,40211.0,28425,18.574866769812623
43,27215,231789.51020408163,27215,8,41204.0,6435.0,47420.0,27215,15.617415784875258
43,27217,144079.35034013606,27217,7,37624.0,7957.0,40114.0,27217,21.14873485009568
44,27509,146562.25170068027,27509,2,6285.0,1325.0,41467.0,27509,21.081941129673826
45,27920,302320.0873015873,27920,2,1327.0,542.0,48796.0,27920,40.84400904295404
46,27921,264918.5808080808,27921,5,4889.0,595.0,63563.0,27921,12.170177950501126
47,28326,212590.97894736842,28326,5,23385.0,3280.0,61299.0,28326,14.026085097284586
48,28715,304969.04814814817,28715,5,26318.0,3319.0,53594.0,28715,12.611140664184209
49,28716,180681.02717391305,28716,5,17807.0,2681.0,49018.0,28716,15.055876902341776
50,28428,365551.85039370076,28428,1,6533.0,603.0,71250.0,28428,9.230062758303994
51,27510,350472.2719665272,27510,3,15528.0,2471.0,53155.0,27510,15.91318907779495
52,27511,256227.5,27511,7,34525.0,3653.0,74339.0,27511,10.580738595220852
52,27513,298367.42176870746,27513,7,44821.0,2443.0,92858.0,27513,5.45057004529127
52,27518,353947.819112628,27518,1,20875.0,918.0,106833.0,27518,4.3976047904191615
52,27519,340502.4232081911,27519,11,55111.0,1916.0,130337.0,27519,3.4766199125401465
53,28020,166786.70325203252,28020,1,2082.0,301.0,42700.0,28020,14.457252641690678
54,28717,1019793.7243243243,28717,3,1640.0,240.0,41108.0,28717,14.634146341463413
55,28429,226143.53260869565,28429,3,7525.0,707.0,49346.0,28429,9.395348837209305
56,28609,245033.90476190476,28609,3,5788.0,467.0,59495.0,28609,8.068417415342086
