City,RegionName,avg,zip,count,population,poverty_count,median_household_income,zipcode,poverty_rate,rooms
Aberdeen,28315,114560.25,28315,4,13700,2826,51725,28315,20.62773723,1 bedroom
Advance,27006,117300.2253,27006,2,14555,932,78095,27006,6.403297836,1 bedroom
Albemarle,28001,35063.4966,28001,8,26601,5208,45121,28001,19.57821135,1 bedroom
Angier,27501,126763.4271,27501,5,21299,2601,56338,27501,12.21184093,1 bedroom
Apex,27502,370912.2519,27502,7,40280,2248,110513,27502,5.580933466,1 bedroom
Apex,27523,311196.1528,27523,3,11629,685,102368,27523,5.890446298,1 bedroom
Archdale,27263,60614.32653,27263,5,22028,3042,44454,27263,13.80969675,1 bedroom
Arden,28704,115417.6357,28704,3,19060,1563,63223,28704,8.200419727,1 bedroom
Ash,28420,107827.9348,28420,2,3845,639,53519,28420,16.6189857,1 bedroom
Asheboro,27203,76841.70408,27203,8,21684,5360,34131,27203,24.71868659,1 bedroom
Asheboro,27205,70525.28231,27205,7,34517,5316,47008,27205,15.4011067,1 bedroom
Asheville,28801,213877.7238,28801,5,13683,3113,33504,28801,22.75085873,1 bedroom
Asheville,28803,142869.4926,28803,9,33756,3072,50475,28803,9.100604337,1 bedroom
Asheville,28804,123831.771,28804,2,22189,2553,59855,28804,11.50570102,1 bedroom
Asheville,28805,154801.2143,28805,3,19818,2187,49893,28805,11.03542234,1 bedroom
Asheville,28806,120884.0597,28806,12,42650,6165,46726,28806,14.45486518,1 bedroom
Atlantic,28511,98773.54545,28511,1,566,107,38125,28511,18.90459364,1 bedroom
Aurora,27806,38437.87692,27806,1,2664,490,37582,27806,18.39339339,1 bedroom
Bahama,27503,112793.0169,27503,1,6328,170,81016,27503,2.686472819,1 bedroom
Banner Elk,28604,65939.26871,28604,2,7635,918,51280,28604,12.02357564,1 bedroom
Barnardsville,28709,112784.545,28709,1,2302,175,47250,28709,7.602085143,1 bedroom
Bath,27808,84014.84,27808,1,1939,169,48079,27808,8.715832904,1 bedroom
Beaufort,28516,136203.5,28516,4,11268,1665,48668,28516,14.77635783,1 bedroom
Belmont,28012,86025.90099,28012,7,22968,2135,66910,28012,9.295541623,1 bedroom
Benson,27504,95764.63905,27504,5,15182,3153,46944,27504,20.76801475,1 bedroom
Bessemer City,28016,47195.71111,28016,5,13046,2484,44313,28016,19.04031887,1 bedroom
Black Mountain,28711,126876.6704,28711,3,13398,880,45329,28711,6.568144499,1 bedroom
Blowing Rock,28605,182799.8673,28605,1,3428,375,60172,28605,10.93932322,1 bedroom
Boiling Spring Lakes,28461,153726.2915,28461,4,19897,1471,64418,28461,7.393074333,1 bedroom
Bolivia,28422,142156.2921,28422,4,8404,1810,45183,28422,21.53736316,1 bedroom
Boone,28607,111977.5306,28607,5,35523,10533,41143,28607,29.65121189,1 bedroom
Bostic,28018,92208.81973,28018,3,4699,757,36108,28018,16.1098106,1 bedroom
Brevard,28712,139252.8525,28712,6,20017,2894,46490,28712,14.45771095,1 bedroom
Brevard,28772,116456.6413,28772,3,1061,51,45670,28772,4.806786051,1 bedroom
Broadway,27505,53884.97015,27505,1,5862,898,47696,27505,15.31900375,1 bedroom
Browns Summit,27214,93873.29825,27214,3,10773,781,67895,27214,7.249605495,1 bedroom
