City,RegionName,avg,zip,count,City_catagory,population,poverty_count,median_household_income,zipcode,poverty_rate
Aberdeen,28315,152390.6887755102,28315,4,0,13700.0,2826.0,51725.0,28315,20.62773722627737
Advance,27006,203515.1182795699,27006,2,1,14555.0,932.0,78095.0,27006,6.403297835795258
Albemarle,28001,112205.6836734694,28001,8,2,26601.0,5208.0,45121.0,28001,19.578211345438138
Angier,27501,137745.62152777778,27501,5,3,21299.0,2601.0,56338.0,27501,12.21184093149913
Apex,27502,215726.2925170068,27502,7,4,40280.0,2248.0,110513.0,27502,5.580933465739823
Apex,27523,246535.10544217686,27523,3,4,11629.0,685.0,102368.0,27523,5.890446298047984
Apex,27539,214707.28819444444,27539,5,4,23436.0,1111.0,105526.0,27539,4.7405700631507095
Archdale,27263,106700.33333333333,27263,5,5,22028.0,3042.0,44454.0,27263,13.80969674959143
Arden,28704,198592.72118959107,28704,3,6,19060.0,1563.0,63223.0,28704,8.200419727177334
Ash,28420,141049.60869565216,28420,2,7,3845.0,639.0,53519.0,28420,16.618985695708712
Asheboro,27203,99023.69047619047,27203,8,8,21684.0,5360.0,34131.0,27203,24.71868658919018
Asheboro,27205,126188.86054421769,27205,7,8,34517.0,5316.0,47008.0,27205,15.401106701045858
Asheville,28801,238207.04104477612,28801,5,9,13683.0,3113.0,33504.0,28801,22.75085872981071
Asheville,28803,208256.14814814815,28803,9,9,33756.0,3072.0,50475.0,28803,9.100604337006754
Asheville,28804,273424.1777777778,28804,2,9,22189.0,2553.0,59855.0,28804,11.50570102302943
Asheville,28805,222272.75925925927,28805,3,9,19818.0,2187.0,49893.0,28805,11.035422343324251
Asheville,28806,185958.88148148148,28806,12,9,42650.0,6165.0,46726.0,28806,14.454865181711607
Atlantic,28511,109207.3581081081,28511,1,10,566.0,107.0,38125.0,28511,18.904593639575968
Aurora,27806,80776.66793893129,27806,1,11,2664.0,490.0,37582.0,27806,18.39339339339339
Ayden,28513,101944.41847826086,28513,3,12,10321.0,2091.0,48269.0,28513,20.259664761166555
Badin,28009,66307.5068027211,28009,1,13,1221.0,167.0,33261.0,28009,13.677313677313675
Bahama,27503,205237.66192170818,27503,1,14,6328.0,170.0,81016.0,27503,2.6864728192161818
Bailey,27807,130855.9010989011,27807,2,15,6415.0,866.0,45422.0,27807,13.499610288386593
Banner Elk,28604,218889.23469387754,28604,2,16,7635.0,918.0,51280.0,28604,12.023575638506875
Barco,27917,158188.86394557822,27917,3,17,734.0,391.0,29684.0,27917,53.26975476839236
Barnardsville,28709,178343.93308550186,28709,1,18,2302.0,175.0,47250.0,28709,7.602085143353605
Bath,27808,211852.8076923077,27808,1,19,1939.0,169.0,48079.0,27808,8.715832903558535
Bayboro,28515,93717.90350877192,28515,4,20,2584.0,507.0,29292.0,28515,19.620743034055728
Bear Creek,27207,125560.8458781362,27207,1,21,3149.0,502.0,55625.0,27207,15.941568751984756
Beaufort,28516,185096.02040816325,28516,4,22,11268.0,1665.0,48668.0,28516,14.776357827476039
Belmont,28012,161547.49816849816,28012,7,23,22968.0,2135.0,66910.0,28012,9.29554162312783
Belwood,28090,117571.56462585034,28090,2,24,8473.0,2121.0,33151.0,28090,25.032456036822854
Bennett,27208,128988.96140350877,27208,2,25,1847.0,331.0,42128.0,27208,17.920952896589068
Benson,27504,129349.82720588235,27504,5,26,15182.0,3153.0,46944.0,27504,20.76801475431432
Bessemer City,28016,94107.95970695971,28016,5,27,13046.0,2484.0,44313.0,28016,19.040318871684807
Bethel,27812,72635.31891891891,27812,2,28,2762.0,694.0,38944.0,27812,25.126719768283852
Black Mountain,28711,205268.45238095237,28711,3,29,13398.0,880.0,45329.0,28711,6.568144499178983
Blowing Rock,28605,334037.3605442177,28605,1,30,3428.0,375.0,60172.0,28605,10.939323220536757
Boiling Spring Lakes,28461,250243.95673076922,28461,4,31,19897.0,1471.0,64418.0,28461,7.393074332813993
Bolivia,28422,217268.28640776698,28422,4,32,8404.0,1810.0,45183.0,28422,21.53736316039981
Boomer,28606,119446.34166666666,28606,1,33,1689.0,265.0,31308.0,28606,15.689757252812312
Boone,28607,221692.73469387754,28607,5,34,35523.0,10533.0,41143.0,28607,29.651211890887595
Boonville,27011,114824.38,27011,3,35,5380.0,906.0,37167.0,27011,16.840148698884757
Bostic,28018,98474.87755102041,28018,3,36,4699.0,757.0,36108.0,28018,16.109810597999573
Brevard,28712,214381.12021857922,28712,6,37,20017.0,2894.0,46490.0,28712,14.457710945696158
Brevard,28772,159262.7989130435,28772,3,37,1061.0,51.0,45670.0,28772,4.806786050895382
Broadway,27505,128463.15646258503,27505,1,38,5862.0,898.0,47696.0,27505,15.31900375298533
Browns Summit,27214,149093.25510204083,27214,3,39,10773.0,781.0,67895.0,27214,7.24960549521953
Bunn,27508,118108.64516129032,27508,3,40,1326.0,163.0,42981.0,27508,12.292609351432882
Bunnlevel,28323,151559.17297297297,28323,2,41,3899.0,704.0,52351.0,28323,18.055911772249296
Burgaw,28425,128284.2258064516,28425,6,42,11634.0,2161.0,40211.0,28425,18.574866769812623
Burlington,27215,150855.25510204083,27215,8,43,41204.0,6435.0,47420.0,27215,15.617415784875258
Burlington,27217,112657.76190476191,27217,7,43,37624.0,7957.0,40114.0,27217,21.14873485009568
Butner,27509,122982.40136054422,27509,2,44,6285.0,1325.0,41467.0,27509,21.081941129673826
Buxton,27920,241166.20610687023,27920,2,45,1327.0,542.0,48796.0,27920,40.84400904295404
Camden,27921,211467.3686868687,27921,5,46,4889.0,595.0,63563.0,27921,12.170177950501126
Cameron,28326,144667.10204081633,28326,5,47,23385.0,3280.0,61299.0,28326,14.026085097284586
Candler,28715,199649.7037037037,28715,5,48,26318.0,3319.0,53594.0,28715,12.611140664184209
Canton,28716,157116.90476190476,28716,5,49,17807.0,2681.0,49018.0,28716,15.055876902341776
Carolina Beach,28428,308403.2324324324,28428,1,50,6533.0,603.0,71250.0,28428,9.230062758303994
Carrboro,27510,275490.2970711297,27510,3,51,15528.0,2471.0,53155.0,27510,15.91318907779495
Cary,27511,189716.91836734695,27511,7,52,34525.0,3653.0,74339.0,27511,10.580738595220852
Cary,27513,209685.32653061225,27513,7,52,44821.0,2443.0,92858.0,27513,5.45057004529127
Cary,27518,276972.92176870746,27518,1,52,20875.0,918.0,106833.0,27518,4.3976047904191615
Cary,27519,236727.09863945577,27519,11,52,55111.0,1916.0,130337.0,27519,3.4766199125401465
Casar,28020,117371.12925170068,28020,1,53,2082.0,301.0,42700.0,28020,14.457252641690678
Cashiers,28717,525615.5351351352,28717,3,54,1640.0,240.0,41108.0,28717,14.634146341463413
Castle Hayne,28429,154234.2125984252,28429,3,55,7525.0,707.0,49346.0,28429,9.395348837209305
Catawba,28609,149473.25510204083,28609,3,56,5788.0,467.0,59495.0,28609,8.068417415342086
Chapel Hill,27514,309018.669456067,27514,5,57,32304.0,3901.0,70849.0,27514,12.075903912828133
Chapel Hill,27516,249163.94265232974,27516,13,57,41551.0,5747.0,85615.0,27516,13.83119539842603
Chapel Hill,27517,277509.024911032,27517,5,57,24092.0,2085.0,84940.0,27517,8.654325087165864
Charlotte,28202,348583.7653061224,28202,4,58,12745.0,1354.0,90972.0,28202,10.623774029030992
Charlotte,28203,342611.14965986396,28203,2,58,15946.0,2313.0,81094.0,28203,14.505205067101466
Charlotte,28204,319609.193877551,28204,3,58,6725.0,1148.0,61700.0,28204,17.070631970260223
Charlotte,28205,176621.82993197278,28205,11,58,48539.0,10702.0,49378.0,28205,22.04824986093657
Charlotte,28206,114918.12925170068,28206,6,58,11919.0,3480.0,31617.0,28206,29.197080291970803
Charlotte,28207,583405.2346938775,28207,2,58,9539.0,485.0,129886.0,28207,5.08439039731628
Charlotte,28208,99184.83333333333,28208,11,58,39700.0,9954.0,34925.0,28208,25.073047858942065
Charlotte,28209,255321.2857142857,28209,6,58,22694.0,2830.0,72535.0,28209,12.47025645545078
Charlotte,28210,208788.2380952381,28210,8,58,48304.0,5086.0,68692.0,28210,10.529148724743294
Charlotte,28211,269642.3231292517,28211,8,58,30789.0,3507.0,84366.0,28211,11.390431647666373
Charlotte,28212,122345.10204081633,28212,8,58,45694.0,11593.0,39439.0,28212,25.370945857224147
Charlotte,28213,129184.13605442178,28213,4,58,40724.0,8142.0,43984.0,28213,19.993124447500247
Charlotte,28214,129456.57823129251,28214,8,58,41356.0,5248.0,60837.0,28214,12.68981526259793
Charlotte,28215,128027.6156462585,28215,10,58,62533.0,10998.0,50305.0,28215,17.587513792717445
Charlotte,28216,123011.23129251701,28216,8,58,51116.0,7238.0,48647.0,28216,14.159949917833949
Charlotte,28217,121509.41156462584,28217,3,58,29410.0,6806.0,49230.0,28217,23.141788507310444
Charlotte,28226,201995.1530612245,28226,2,58,39631.0,2604.0,94492.0,28226,6.570613913350661
Charlotte,28262,137603.55102040817,28262,11,58,43046.0,7613.0,53261.0,28262,17.68573154300051
Charlotte,28269,145113.92517006802,28269,10,58,76811.0,5341.0,64803.0,28269,6.953431149184363
Charlotte,28270,196036.7993197279,28270,3,58,35059.0,1273.0,95224.0,28270,3.6310219915000426
Charlotte,28273,149839.1326530612,28273,10,58,39483.0,3705.0,63687.0,28273,9.383785426639315
